epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.6618842686094889;0.7804878;0.3482475423490614;0.5806451612903225;0.3125;0.775;1.0;1.0;0.1;0.6;0.7083333333333333;0.6666666666666667;0.6691312789916992;0.5;0.6;nan;1.0;0.0
1;0.6383268687783218;0.75609756;0.3916898285609898;0.6451612903225806;0.42857142857142855;0.75609756;nan;1.0;0.0;0.6;0.7083333333333333;0.6666666666666667;0.6640655398368835;0.5;0.6;nan;1.0;0.0
2;0.6045745116908375;0.75609756;0.4083436562148174;0.6612903225806451;0.4;0.75609756;nan;1.0;0.0;0.6;0.7916666666666666;0.8333333333333334;0.6631530523300171;0.6666666666666666;0.6;nan;1.0;0.0
3;0.6169283549960066;0.75609756;0.44102851683146216;0.6935483870967742;0.4166666666666667;0.75609756;nan;1.0;0.0;0.6;0.7916666666666666;0.8333333333333334;0.6628875136375427;0.6666666666666666;0.6;nan;1.0;0.0
4;0.5993170316626386;0.75609756;0.49580799901852535;0.7419354838709677;0.42857142857142855;0.75609756;nan;1.0;0.0;0.6;0.41666666666666663;0.6666666666666667;0.6628619432449341;0.6666666666666666;0.6;nan;1.0;0.0
5;0.5964378525571126;0.75609756;0.5058796887666857;0.7612903225806451;0.42857142857142855;0.75609756;nan;1.0;0.0;0.6;0.41666666666666663;0.6666666666666667;0.664165735244751;0.6666666666666666;0.6;nan;1.0;0.0
6;0.5595648477717143;0.75609756;0.5756834568939831;0.7870967741935484;0.4666666666666667;0.75609756;nan;1.0;0.0;0.6;0.41666666666666663;0.6666666666666667;0.6716886758804321;0.6666666666666666;0.6;nan;1.0;0.0
7;0.5581555860798534;0.75609756;0.641661111693081;0.8161290322580644;0.5;0.75609756;nan;1.0;0.0;0.6;0.7083333333333333;0.6666666666666667;0.6787415742874146;0.5;0.6;nan;1.0;0.0
8;0.5214709450558919;0.75609756;0.6852977096003411;0.832258064516129;0.5454545454545454;0.75609756;nan;1.0;0.0;0.6;1.0;1.0;0.6597884893417358;1.0;0.6;nan;1.0;0.0
9;0.5680952322919194;0.75609756;0.7294311759791635;0.8612903225806452;0.7;0.75609756;nan;1.0;0.0;0.6;1.0;1.0;0.6461946368217468;1.0;0.6;nan;1.0;0.0
10;0.5227942786565641;0.75609756;0.7287259255342106;0.8612903225806451;0.7;0.75609756;nan;1.0;0.0;0.6;1.0;1.0;0.6372102499008179;1.0;0.6;nan;1.0;0.0
11;0.49781569257015135;0.75609756;0.7701043840322344;0.8741935483870966;0.7;0.75609756;nan;1.0;0.0;0.6;1.0;1.0;0.6365968585014343;1.0;0.6;nan;1.0;0.0
12;0.5527950161840858;0.75609756;0.8241193233412912;0.8838709677419354;0.7;0.75609756;nan;1.0;0.0;0.6;1.0;1.0;0.6536040306091309;1.0;0.6;nan;1.0;0.0
13;0.5205169698087181;0.75609756;0.8130398476913822;0.8838709677419354;0.7;0.75609756;nan;1.0;0.0;0.6;0.7916666666666666;0.8333333333333334;0.6582942008972168;0.6666666666666666;0.6;nan;1.0;0.0
14;0.49420027035038644;0.75609756;0.8156338019397481;0.8870967741935483;0.7;0.75609756;nan;1.0;0.0;0.6;0.7916666666666666;0.8333333333333334;0.6408353447914124;0.6666666666666666;0.6;nan;1.0;0.0
15;0.511131325872933;0.75609756;0.8282388806845328;0.896774193548387;0.7;0.75609756;nan;1.0;0.0;0.6;1.0;1.0;0.6175830364227295;1.0;0.6;nan;1.0;0.0
