epoch;loss;train_kappa;train_mad;train_mape;train_mse;val_kappa;val_loss;val_mad;val_mape;val_mse
0;1.9223668533861638;0.3557161431948045;96.27469477256251;225.95299330277777;32009.26517666699;0.364598413601974;2.3375680446624756;85.184554324625;182.88113484421825;21642.21099693986
1;1.883430927067995;0.394060658357971;131.43016809387498;326.74450617846;51471.77286524638;0.3775695448859707;2.1449291706085205;123.90631519224999;298.16073572734604;44532.74008554968
2;1.848246343165636;0.3950844663444637;119.05683920043751;278.6655185274014;42993.650395011784;0.38064820263075627;1.5049198865890503;111.05324216274998;271.16786446159506;35851.17484915392
3;1.8370678830742837;0.4121909317735183;143.67811481975002;386.2801972505891;58079.62994906593;0.4067082574728581;1.2671599388122559;133.63735168199997;357.2742387894013;50135.04719867404
4;1.8301050403416157;0.42967413901532625;106.5624759525;286.9146446125851;35503.686108734575;0.4108027605108221;2.494565963745117;102.003644508375;252.03304641845426;30834.360571545072
